TransactionID,AccountID,TransactionAmount,Transaction Date,TransactionType,Location,DeviceID,MerchantID,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,Previous Transaction Date
Tx000058,Ac00456,293,14-12-2023,Credit,Dallas,D000311,M075,Branch,68,Retired,61,1,4638,04-11-2024
Tx000059,Ac00143,387,03-03-2023,Debit,Indianapolis,D000145,M064,Branch,48,Engineer,28,1,5631,04-11-2024
Tx000060,Ac00427,112,09-06-2023,Debit,Kansas City,D000089,M064,Branch,23,Student,51,1,930,04-11-2024
Tx000061,Ac00438,569,02-10-2023,Debit,Indianapolis,D000233,M094,Atm,46,Engineer,152,1,5500,04-11-2024
Tx000062,Ac00002,264,06-10-2023,Debit,Dallas,D000285,M087,Branch,79,Retired,227,2,4175,04-11-2024
Tx000063,Ac00425,350,16-05-2023,Debit,Las Vegas,D000516,M097,Online,48,Engineer,226,1,6652,04-11-2024
Tx000064,Ac00325,601,07-11-2023,Credit,Philadelphia,D000548,M001,Branch,56,Engineer,104,1,8458,04-11-2024
Tx000065,Ac00434,6,30-05-2023,Debit,Charlotte,D000461,M071,Online,50,Doctor,124,1,13988,04-11-2024
Tx000066,Ac00242,201,02-11-2023,Credit,Nashville,D000098,M003,Branch,42,Engineer,186,1,2585,04-11-2024
Tx000067,Ac00319,298,29-03-2023,Debit,Indianapolis,D000435,M005,Branch,56,Retired,225,1,3015,04-11-2024
Tx000068,Ac00460,521,25-04-2023,Debit,Albuquerque,D000305,M063,Branch,25,Student,128,1,1951,04-11-2024
Tx000069,Ac00461,117,18-04-2023,Credit,Austin,D000128,M057,Online,60,Engineer,16,1,3666,04-11-2024
Tx000070,Ac00395,189,09-02-2023,Credit,Indianapolis,D000684,M040,Branch,32,Engineer,103,1,977,04-11-2024
Tx000071,Ac00217,134,13-11-2023,Debit,Atlanta,D000201,M091,Atm,44,Engineer,220,1,3846,04-11-2024
Tx000072,Ac00053,143,18-07-2023,Debit,Dallas,D000410,M066,Online,35,Engineer,135,1,6375,04-11-2024
Tx000073,Ac00282,25,13-01-2023,Debit,Boston,D000180,M070,Atm,62,Retired,55,1,5866,04-11-2024
Tx000074,Ac00110,234,04-07-2023,Credit,Jacksonville,D000295,M046,Online,26,Student,280,1,6538,04-11-2024
Tx000075,Ac00265,1213,20-10-2023,Debit,Indianapolis,D000231,M036,Branch,20,Student,24,1,606,04-11-2024
Tx000076,Ac00239,232,04-10-2023,Debit,Omaha,D000073,M066,Atm,37,Engineer,51,1,6690,04-11-2024
Tx000077,Ac00007,163,28-12-2023,Debit,Kansas City,D000070,M060,Online,22,Student,113,1,634,04-11-2024
Tx000078,Ac00022,92,12-06-2023,Debit,Milwaukee,D000363,M095,Branch,44,Doctor,69,1,14676,04-11-2024
Tx000079,Ac00464,120,13-03-2023,Debit,Miami,D000561,M045,Branch,19,Student,77,1,1362,04-11-2024
Tx000080,Ac00014,174,18-12-2023,Debit,Seattle,D000375,M032,Online,50,Doctor,67,1,10528,04-11-2024
Tx000081,Ac00406,184,17-07-2023,Debit,Denver,D000488,M074,Atm,38,Engineer,102,1,553,04-11-2024
Tx000082,Ac00445,345,19-06-2023,Credit,Phoenix,D000097,M081,Online,58,Engineer,80,1,6452,04-11-2024
Tx000083,Ac00236,923,23-10-2023,Debit,Detroit,D000206,M004,Atm,63,Retired,87,1,4716,04-11-2024
Tx000084,Ac00220,260,23-01-2023,Debit,Denver,D000616,M028,Online,49,Doctor,170,1,7177,04-11-2024
Tx000085,Ac00140,155,06-11-2023,Debit,San Diego,D000494,M030,Online,34,Doctor,157,1,1524,04-11-2024
Tx000086,Ac00098,1340,03-07-2023,Credit,Austin,D000574,M012,Online,54,Engineer,30,1,8654,04-11-2024
Tx000087,Ac00303,25,29-09-2023,Debit,Mesa,D000428,M033,Branch,64,Doctor,69,1,9870,04-11-2024
Tx000088,Ac00373,568,20-10-2023,Debit,Washington,D000018,M054,Atm,48,Doctor,115,1,10557,04-11-2024
Tx000089,Ac00438,10,28-08-2023,Credit,San Diego,D000453,M043,Online,58,Doctor,179,1,12884,04-11-2024
Tx000090,Ac00437,393,22-06-2023,Debit,Kansas City,D000141,M022,Online,24,Student,100,1,792,04-11-2024
Tx000091,Ac00106,717,20-11-2023,Credit,Milwaukee,D000322,M052,Online,60,Retired,34,1,4064,04-11-2024
Tx000092,Ac00310,224,14-09-2023,Debit,Kansas City,D000481,M009,Atm,53,Engineer,55,4,2930,04-11-2024
Tx000093,Ac00149,231,02-10-2023,Debit,Houston,D000526,M049,Branch,21,Student,135,1,618,04-11-2024
Tx000094,Ac00373,442,27-03-2023,Debit,Los Angeles,D000645,M047,Online,19,Student,260,1,1376,04-11-2024
Tx000095,Ac00425,644,21-12-2023,Debit,San Antonio,D000178,M093,Atm,29,Engineer,72,1,1144,04-11-2024
Tx000096,Ac00010,509,02-03-2023,Credit,Mesa,D000622,M048,Branch,51,Engineer,127,1,7708,04-11-2024
Tx000097,Ac00348,859,26-06-2023,Credit,San Francisco,D000019,M002,Branch,27,Student,185,1,1873,04-11-2024
Tx000098,Ac00011,25,18-04-2023,Debit,Louisville,D000192,M007,Atm,57,Engineer,78,1,201,04-11-2024
Tx000099,Ac00453,148,17-07-2023,Debit,Charlotte,D000093,M028,Branch,71,Retired,133,1,2116,04-11-2024
Tx000100,Ac00178,115,01-09-2023,Debit,San Antonio,D000528,M004,Branch,37,Doctor,175,1,7644,04-11-2024
Tx000101,Ac00265,383,11-09-2023,Debit,Fort Worth,D000321,M066,Branch,30,Engineer,24,1,8902,04-11-2024
Tx000102,Ac00018,99,24-01-2023,Credit,El Paso,D000528,M095,Online,20,Student,167,1,9383,04-11-2024
Tx000103,Ac00075,83,11-08-2023,Credit,Fort Worth,D000607,M009,Branch,55,Doctor,164,1,1181,04-11-2024
Tx000104,Ac00464,196,16-10-2023,Debit,Virginia Beach,D000164,M099,Branch,27,Engineer,146,1,9419,04-11-2024
Tx000105,Ac00170,130,24-02-2023,Debit,Las Vegas,D000647,M045,Atm,32,Engineer,235,1,7955,04-11-2024
Tx000106,Ac00235,307,02-01-2023,Debit,Colorado Springs,D000078,M047,Online,46,Engineer,51,1,9418,04-11-2024
Tx000107,Ac00013,115,30-11-2023,Debit,Seattle,D000182,M032,Online,59,Retired,80,1,6145,04-11-2024
Tx000108,Ac00397,757,01-11-2023,Debit,Sacramento,D000028,M012,Branch,27,Student,17,1,421,04-11-2024
Tx000109,Ac00423,504,06-03-2023,Debit,Los Angeles,D000518,M083,Online,22,Student,35,1,448,04-11-2024
Tx000110,Ac00154,143,27-11-2023,Debit,San Antonio,D000469,M055,Atm,63,Retired,147,1,7981,04-11-2024
Tx000111,Ac00068,1045,31-07-2023,Debit,Columbus,D000400,M077,Atm,53,Retired,73,1,1830,04-11-2024
Tx000112,Ac00318,246,22-11-2023,Debit,New York,D000536,M089,Atm,25,Student,180,1,985,04-11-2024
Tx000113,Ac00396,254,21-03-2023,Credit,Dallas,D000477,M012,Online,51,Engineer,174,1,8849,04-11-2024
Tx000114,Ac00121,214,20-04-2023,Credit,Dallas,D000574,M009,Atm,78,Retired,282,1,3529,04-11-2024
Tx000115,Ac00336,328,01-03-2023,Debit,Fresno,D000655,M051,Online,40,Engineer,104,1,480,04-11-2024
Tx000116,Ac00468,3,10-02-2023,Debit,San Diego,D000673,M042,Online,47,Doctor,107,1,12145,04-11-2024
Tx000117,Ac00282,300,21-07-2023,Credit,Austin,D000266,M040,Online,68,Doctor,47,1,13547,04-11-2024
Tx000118,Ac00498,57,09-10-2023,Credit,Oklahoma City,D000256,M086,Atm,43,Engineer,122,2,5688,04-11-2024
Tx000119,Ac00085,408,01-01-2024,Debit,Boston,D000544,M041,Online,26,Engineer,62,1,8347,04-11-2024
Tx000120,Ac00092,116,07-07-2023,Debit,Fresno,D000663,M086,Branch,39,Engineer,167,1,6481,04-11-2024
Tx000121,Ac00295,54,22-05-2023,Debit,Houston,D000489,M025,Atm,69,Retired,121,1,1651,04-11-2024
Tx000122,Ac00358,63,16-08-2023,Credit,Detroit,D000434,M028,Online,46,Doctor,165,1,11175,04-11-2024
Tx000123,Ac00311,318,17-11-2023,Debit,Detroit,D000314,M076,Online,27,Student,91,1,146,04-11-2024
Tx000124,Ac00066,332,22-05-2023,Debit,Portland,D000037,M006,Online,41,Engineer,61,1,4173,04-11-2024
Tx000125,Ac00340,5,25-08-2023,Debit,Washington,D000021,M001,Atm,56,Retired,41,1,5558,04-11-2024
Tx000126,Ac00284,215,27-11-2023,Credit,Detroit,D000112,M026,Online,70,Doctor,247,1,11152,04-11-2024
Tx000127,Ac00208,599,04-08-2023,Debit,Philadelphia,D000042,M081,Branch,57,Doctor,158,1,1416,04-11-2024
Tx000128,Ac00176,841,04-09-2023,Debit,Tucson,D000276,M083,Online,26,Student,80,1,1104,04-11-2024
Tx000129,Ac00053,38,09-08-2023,Debit,Mesa,D000687,M005,Online,26,Student,108,1,304,04-11-2024
Tx000130,Ac00320,1037,07-09-2023,Debit,San Antonio,D000015,M062,Branch,58,Doctor,144,1,5542,04-11-2024
Tx000131,Ac00382,125,11-07-2023,Debit,Oklahoma City,D000118,M004,Branch,33,Engineer,105,1,6310,04-11-2024
Tx000132,Ac00384,302,03-07-2023,Credit,San Antonio,D000052,M059,Branch,78,Retired,40,1,5134,04-11-2024
Tx000133,Ac00203,208,25-09-2023,Debit,Louisville,D000339,M055,Online,47,Engineer,273,1,9345,04-11-2024
Tx000134,Ac00498,6,20-11-2023,Credit,Los Angeles,D000236,M098,Branch,23,Student,254,1,1118,04-11-2024
Tx000135,Ac00349,381,17-11-2023,Debit,Albuquerque,D000635,M034,Atm,56,Doctor,75,1,11835,04-11-2024
Tx000136,Ac00177,16,21-08-2023,Debit,Milwaukee,D000465,M065,Atm,50,Doctor,124,1,14401,04-11-2024
Tx000137,Ac00284,486,16-10-2023,Debit,Oklahoma City,D000170,M060,Online,18,Student,68,1,1749,04-11-2024
Tx000138,Ac00272,336,20-06-2023,Debit,San Antonio,D000426,M003,Branch,21,Student,18,1,1000,04-11-2024
Tx000139,Ac00405,997,16-01-2023,Debit,Seattle,D000661,M067,Online,69,Doctor,118,1,6810,04-11-2024
Tx000140,Ac00385,235,22-11-2023,Debit,Chicago,D000553,M045,Online,23,Student,120,1,264,04-11-2024
Tx000141,Ac00403,6,01-09-2023,Debit,Chicago,D000556,M090,Online,30,Doctor,246,1,5443,04-11-2024
Tx000142,Ac00114,1050,23-10-2023,Debit,Detroit,D000522,M052,Atm,80,Retired,21,1,2038,04-11-2024
Tx000143,Ac00163,227,23-10-2023,Debit,Charlotte,D000439,M057,Atm,18,Student,294,1,342,04-11-2024
Tx000144,Ac00108,234,03-07-2023,Credit,Oklahoma City,D000600,M030,Online,66,Retired,17,1,1067,04-11-2024
Tx000145,Ac00397,113,24-10-2023,Credit,Jacksonville,D000369,M019,Branch,69,Retired,166,1,6078,04-11-2024
Tx000146,Ac00434,46,25-09-2023,Debit,Los Angeles,D000241,M085,Atm,20,Student,92,1,1659,04-11-2024
Tx000147,Ac00385,973,16-02-2023,Debit,Sacramento,D000292,M026,Branch,77,Retired,296,1,2042,04-11-2024
Tx000148,Ac00161,515,30-08-2023,Debit,New York,D000109,M056,Online,41,Doctor,142,5,422,04-11-2024
Tx000149,Ac00333,416,13-04-2023,Debit,Memphis,D000330,M077,Atm,66,Doctor,141,1,10114,04-11-2024
Tx000150,Ac00279,266,28-07-2023,Debit,Philadelphia,D000158,M049,Online,54,Retired,92,1,4446,04-11-2024
Tx000151,Ac00072,69,06-02-2023,Debit,Virginia Beach,D000413,M073,Online,80,Retired,113,1,6453,04-11-2024
Tx000152,Ac00242,333,24-07-2023,Credit,Albuquerque,D000548,M039,Branch,35,Engineer,293,1,2788,04-11-2024
Tx000153,Ac00303,268,20-11-2023,Debit,San Antonio,D000605,M078,Online,20,Student,160,1,596,04-11-2024
Tx000154,Ac00442,496,09-10-2023,Debit,San Francisco,D000070,M009,Branch,61,Doctor,265,1,12905,04-11-2024
Tx000155,Ac00087,376,03-11-2023,Debit,Tucson,D000481,M081,Atm,37,Engineer,245,1,9062,04-11-2024
Tx000156,Ac00174,83,15-02-2023,Credit,Seattle,D000226,M058,Online,36,Engineer,171,1,9010,04-11-2024
Tx000157,Ac00421,93,04-09-2023,Credit,New York,D000436,M092,Online,20,Student,72,1,1152,04-11-2024
Tx000158,Ac00111,803,27-07-2023,Credit,Memphis,D000108,M030,Branch,68,Doctor,129,1,12168,04-11-2024
Tx000159,Ac00275,36,17-04-2023,Debit,Charlotte,D000678,M057,Branch,23,Student,122,1,612,04-11-2024
Tx000160,Ac00492,29,19-09-2023,Debit,Washington,D000310,M035,Online,62,Doctor,99,1,8671,04-11-2024
Tx000161,Ac00380,140,31-05-2023,Credit,Louisville,D000491,M002,Online,53,Doctor,177,1,10099,04-11-2024
Tx000162,Ac00227,308,09-10-2023,Debit,Detroit,D000076,M049,Branch,33,Doctor,285,1,5308,04-11-2024
Tx000163,Ac00257,61,09-01-2023,Credit,Tucson,D000456,M085,Branch,56,Retired,53,1,1047,04-11-2024
Tx000164,Ac00062,75,26-05-2023,Debit,Nashville,D000115,M028,Branch,70,Doctor,125,1,6921,04-11-2024
Tx000165,Ac00383,118,14-08-2023,Debit,Kansas City,D000281,M100,Branch,51,Retired,137,1,1475,04-11-2024
Tx000166,Ac00182,232,24-11-2023,Debit,Memphis,D000371,M044,Atm,34,Engineer,165,1,113,04-11-2024
Tx000167,Ac00478,126,31-01-2023,Debit,Baltimore,D000001,M001,Branch,75,Retired,268,1,5670,04-11-2024
Tx000168,Ac00332,506,14-02-2023,Credit,Chicago,D000606,M010,Online,53,Retired,162,2,1310,04-11-2024
Tx000169,Ac00202,304,02-05-2023,Debit,Houston,D000281,M007,Branch,31,Engineer,36,1,4057,04-11-2024
Tx000170,Ac00331,282,04-12-2023,Debit,Detroit,D000148,M013,Atm,22,Student,109,1,1586,04-11-2024
Tx000171,Ac00474,778,16-05-2023,Debit,Houston,D000436,M018,Branch,31,Engineer,17,1,6826,04-11-2024
Tx000172,Ac00268,119,20-03-2023,Debit,Los Angeles,D000309,M093,Branch,56,Retired,96,1,5517,04-11-2024
Tx000173,Ac00247,177,25-08-2023,Debit,Chicago,D000666,M088,Online,76,Retired,43,1,5343,04-11-2024
Tx000174,Ac00298,261,15-05-2023,Debit,Denver,D000327,M094,Branch,22,Student,36,1,903,04-11-2024
Tx000175,Ac00106,169,29-05-2023,Debit,Chicago,D000061,M046,Online,24,Student,19,1,1806,04-11-2024
Tx000176,Ac00035,73,22-03-2023,Debit,Portland,D000059,M022,Branch,26,Student,14,1,788,04-11-2024
Tx000177,Ac00363,1363,19-05-2023,Debit,El Paso,D000213,M001,Atm,29,Engineer,106,1,2430,04-11-2024
Tx000178,Ac00273,793,10-02-2023,Debit,Baltimore,D000424,M059,Atm,19,Student,164,1,770,04-11-2024
Tx000179,Ac00156,237,22-05-2023,Debit,Phoenix,D000455,M049,Online,71,Retired,46,1,1183,04-11-2024
Tx000180,Ac00010,34,18-12-2023,Credit,Philadelphia,D000036,M091,Online,54,Engineer,54,1,727,04-11-2024
Tx000181,Ac00036,740,21-11-2023,Debit,Philadelphia,D000030,M010,Online,41,Doctor,123,1,14464,04-11-2024
Tx000182,Ac00149,454,19-07-2023,Debit,Albuquerque,D000150,M017,Atm,58,Doctor,82,1,12046,04-11-2024
Tx000183,Ac00225,300,19-04-2023,Debit,Jacksonville,D000272,M065,Branch,73,Retired,100,1,7886,04-11-2024
Tx000184,Ac00077,111,13-11-2023,Credit,Virginia Beach,D000142,M036,Branch,19,Student,201,1,1952,04-11-2024
Tx000185,Ac00440,202,07-04-2023,Debit,Las Vegas,D000626,M019,Atm,59,Doctor,299,1,7329,04-11-2024
Tx000186,Ac00321,399,03-01-2023,Debit,Portland,D000301,M062,Atm,59,Engineer,109,1,3210,04-11-2024
Tx000187,Ac00099,1042,30-01-2023,Debit,Jacksonville,D000208,M032,Online,78,Retired,57,1,5726,04-11-2024
Tx000188,Ac00258,630,06-09-2023,Debit,Mesa,D000091,M084,Atm,62,Retired,52,1,1364,04-11-2024
Tx000189,Ac00132,11,02-03-2023,Credit,Philadelphia,D000503,M083,Atm,60,Engineer,245,1,1242,04-11-2024
Tx000190,Ac00113,216,23-10-2023,Debit,Los Angeles,D000414,M083,Atm,38,Doctor,235,1,7873,04-11-2024
Tx000191,Ac00396,1423,04-01-2023,Debit,Washington,D000569,M072,Branch,79,Retired,165,1,5674,04-11-2024
Tx000192,Ac00099,226,10-07-2023,Credit,Louisville,D000631,M041,Branch,49,Doctor,141,1,9840,04-11-2024
Tx000193,Ac00265,445,18-09-2023,Credit,Las Vegas,D000173,M060,Branch,43,Doctor,101,1,10328,04-11-2024
Tx000194,Ac00047,281,11-09-2023,Credit,Virginia Beach,D000538,M017,Online,25,Student,24,1,293,04-11-2024
Tx000195,Ac00005,489,27-01-2023,Debit,Jacksonville,D000466,M036,Branch,52,Engineer,132,1,7487,04-11-2024
Tx000196,Ac00363,3,03-07-2023,Credit,Los Angeles,D000215,M085,Branch,50,Doctor,131,1,11385,04-11-2024
Tx000197,Ac00426,199,27-03-2023,Debit,Colorado Springs,D000304,M023,Branch,69,Retired,165,1,7265,04-11-2024
Tx000198,Ac00107,20,21-08-2023,Debit,Tucson,D000082,M069,Branch,62,Retired,75,1,2762,04-11-2024
Tx000199,Ac00237,114,24-07-2023,Debit,Detroit,D000022,M038,Online,62,Retired,32,1,6675,04-11-2024
Tx000200,Ac00358,493,24-10-2023,Debit,Colorado Springs,D000232,M022,Branch,53,Retired,236,1,7433,04-11-2024
Tx000201,Ac00113,307,31-07-2023,Debit,Los Angeles,D000014,M007,Atm,19,Student,14,1,1057,04-11-2024
Tx000202,Ac00010,11,12-06-2023,Debit,Atlanta,D000129,M017,Online,43,Doctor,161,1,5957,04-11-2024
Tx000203,Ac00499,314,30-11-2023,Debit,Tucson,D000357,M097,Branch,59,Engineer,151,1,7262,04-11-2024
Tx000204,Ac00380,51,15-11-2023,Debit,Seattle,D000199,M063,Branch,64,Retired,107,1,4943,04-11-2024
Tx000205,Ac00452,141,30-01-2023,Debit,Memphis,D000374,M059,Branch,60,Engineer,100,1,8127,04-11-2024
Tx000206,Ac00020,288,25-05-2023,Debit,Denver,D000582,M092,Atm,68,Retired,63,1,1748,04-11-2024
Tx000207,Ac00181,801,24-08-2023,Debit,Oklahoma City,D000657,M062,Atm,31,Engineer,108,1,9660,04-11-2024
Tx000208,Ac00370,486,04-05-2023,Debit,Houston,D000589,M061,Atm,46,Engineer,143,1,6372,04-11-2024
Tx000209,Ac00453,521,06-02-2023,Debit,Kansas City,D000108,M084,Atm,54,Doctor,214,1,9442,04-11-2024
Tx000210,Ac00339,322,17-02-2023,Credit,Raleigh,D000537,M056,Atm,63,Retired,61,1,5959,04-11-2024
Tx000211,Ac00249,305,07-08-2023,Debit,Portland,D000700,M098,Atm,65,Doctor,158,1,13531,04-11-2024
Tx000212,Ac00479,432,24-02-2023,Debit,El Paso,D000073,M044,Atm,40,Doctor,145,1,11501,04-11-2024
Tx000213,Ac00301,694,31-07-2023,Debit,Milwaukee,D000007,M035,Atm,61,Retired,72,1,1389,04-11-2024
Tx000214,Ac00380,117,07-12-2023,Debit,Louisville,D000531,M088,Atm,55,Engineer,171,1,6707,04-11-2024
Tx000215,Ac00130,387,20-03-2023,Credit,Detroit,D000248,M039,Online,57,Doctor,149,1,7175,04-11-2024
Tx000216,Ac00006,75,03-03-2023,Debit,Atlanta,D000139,M026,Atm,25,Student,202,1,421,04-11-2024
Tx000217,Ac00096,196,24-05-2023,Debit,Philadelphia,D000517,M056,Branch,75,Retired,99,1,7324,04-11-2024
Tx000218,Ac00108,135,22-05-2023,Debit,Fort Worth,D000637,M074,Atm,50,Doctor,106,1,8396,04-11-2024
Tx000219,Ac00070,890,21-08-2023,Credit,Las Vegas,D000223,M029,Online,33,Engineer,161,1,5141,04-11-2024
Tx000220,Ac00417,361,07-07-2023,Debit,Omaha,D000676,M088,Atm,63,Doctor,180,1,7946,04-11-2024
Tx000221,Ac00391,132,06-01-2023,Debit,Charlotte,D000203,M014,Branch,44,Doctor,42,1,5874,04-11-2024
Tx000222,Ac00414,486,19-10-2023,Credit,Milwaukee,D000460,M097,Online,76,Retired,37,1,3074,04-11-2024
Tx000223,Ac00004,548,28-11-2023,Debit,Columbus,D000183,M064,Atm,64,Retired,131,1,6156,04-11-2024
Tx000224,Ac00047,457,10-07-2023,Debit,Virginia Beach,D000214,M042,Online,28,Engineer,15,1,8318,04-11-2024
Tx000225,Ac00198,506,26-06-2023,Debit,Chicago,D000315,M077,Atm,58,Engineer,64,1,230,04-11-2024
